id,title,authors,publisher,publish_date,page_count,categories,ISBN,imageLink,description
z7TQ8NSooS4C,Java NIO \c Ron Hitchens,Ron Hitchens,"""O'Reilly Media, Inc.""",2002-08-27,282,Computers,9780596002886,http://books.google.com/books/content?id=z7TQ8NSooS4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"The java New I/O (NIO) packages in J2SE 1.4 introduce many new, indispensable features previously unavailable to Java programmers. These include APIs for high-performance I/O operations, regular expression processing, and character set coding. These new libraries are a treasure trove for java developers. The NIO APIs are especially valuable where high-performance I/O is a requirement, but they can also be useful in a wide range of scenarios. The new APIs let you work directly with I/O buffers, multiplex nonblocking streams, do scattering reads and gathering writes, do channel-to-channel transfers, work with memory-mapped files, manage file locks, and much more. The new high-performance Regular Expression Library provides sophisticated, Perl-like regex-processing features such as pattern matching, search and replace, capture groups, look ahead assertions, and many others. The Charset API gives you complete control over character set encoding and decoding, which are vital for properly managing the exchange of documents on the Web, for localization, or for other purposes. You can also create and install your own custom character sets. Staying current with the latent java technology is never easy. NIO, new in Java 1.4, is quite possibly the most important new java feature since Swing. Understanding it thoroughly is essential for any serious Java developer. NIO closes the gap between java and natively compiled languages and enables java applications to achieve maximum I/O performance by effectively leveraging operating-system services in a portable way. Java NIO is a comprehensive guide to the java New I/O facilities. It lots you take full advantage of NIO features and shows you how they work, what they can do for you, and when you should use them. This book brings you up to speed on NIO and shows you how to bring your I/O-bound Java applications up to speed as well. Java NIO is an essential part of any Java professional's library."
lfHo7uMk7r4C,TCP/IP Sockets in Java: Practical Guide for Programmers,"Kenneth L. Calvert,Michael J. Donahoo",Morgan Kaufmann,2011-08-29,192,Computers,9780080568782,http://books.google.com/books/content?id=lfHo7uMk7r4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"The networking capabilities of the Java platform have been extended considerably since the first edition of the book. This new edition covers version 1.5-1.7, the most current iterations, as well as making the following improvements: The API (application programming interface) reference sections in each chapter, which describe the relevant parts of each class, have been replaced with (i) a summary section that lists the classes and methods used in the code, and (ii) a ""gotchas"" section that mentions nonobvious or poorly-documented aspects of the objects. In addition, the book covers several new classes and capabilities introduced in the last few revisions of the Java platform. New abstractions to be covered include NetworkInterface, InterfaceAddress, Inet4/6Address, SocketAddress/InetSocketAddress, Executor, and others; extended access to low-level network information; support for IPv6; more complete access to socket options; and scalable I/O. The example code is also modified to take advantage of new language features such as annotations, enumerations, as well as generics and implicit iterators where appropriate. Most Internet applications use sockets to implement network communication protocols. This book's focused, tutorial-based approach helps the reader master the tasks and techniques essential to virtually all client-server projects using sockets in Java. Chapter 1 provides a general overview of networking concepts to allow readers to synchronize the concepts with terminology. Chapter 2 introduces the mechanics of simple clients and servers. Chapter 3 covers basic message construction and parsing. Chapter 4 then deals with techniques used to build more robust clients and servers. Chapter 5 (NEW) introduces the scalable interface facilities which were introduced in Java 1.5, including the buffer and channel abstractions. Chapter 6 discusses the relationship between the programming constructs and the underlying protocol implementations in more detail. Programming concepts are introduced through simple program examples accompanied by line-by-line code commentary that describes the purpose of every part of the program. No other resource presents so concisely or so effectively the material necessary to get up and running with Java sockets programming. Focused, tutorial-based instruction in key sockets programming techniques allows reader to quickly come up to speed on Java applications. Concise and up-to-date coverage of the most recent platform (1.7) for Java applications in networking technology."
diqHjRjMhW0C,"Wicked Cool Java: Code Bits, Open-source Libraries, and Project Ideas",Brian D. Eubanks,No Starch Press,2005,224,COMPUTERS,9781593270612,http://books.google.com/books/content?id=diqHjRjMhW0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Containing 101 fun, interesting, and useful ways to get more out of Java, this title targets developers and system architects who have some basic Java knowledge but may not be familiar with the wide range of libraries available."
ka2VUBqHiWkC,Effective Java,Joshua Bloch,Addison-Wesley Professional,2008-05-08,368,Computers,9780132778046,http://books.google.com/books/content?id=ka2VUBqHiWkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Are you looking for a deeper understanding of the Java™ programming language so that you can write code that is clearer, more correct, more robust, and more reusable? Look no further! Effective Java™, Second Edition, brings together seventy-eight indispensable programmer’s rules of thumb: working, best-practice solutions for the programming challenges you encounter every day. This highly anticipated new edition of the classic, Jolt Award-winning work has been thoroughly updated to cover Java SE 5 and Java SE 6 features introduced since the first edition. Bloch explores new design patterns and language idioms, showing you how to make the most of features ranging from generics to enums, annotations to autoboxing. Each chapter in the book consists of several “items” presented in the form of a short, standalone essay that provides specific advice, insight into Java platform subtleties, and outstanding code examples. The comprehensive descriptions and explanations for each item illuminate what to do, what not to do, and why. Highlights include: New coverage of generics, enums, annotations, autoboxing, the for-each loop, varargs, concurrency utilities, and much more Updated techniques and best practices on classic topics, including objects, classes, libraries, methods, and serialization How to avoid the traps and pitfalls of commonly misunderstood subtleties of the language Focus on the language and its most fundamental libraries: java.lang, java.util, and, to a lesser extent, java.util.concurrent and java.io Simply put, Effective Java™, Second Edition, presents the most practical, authoritative guidelines available for writing efficient, well-designed programs."
bIchilfV3bcC,Multithreaded Programming with Java Technology,"Bil Lewis,Daniel J. Berg",Prentice Hall Professional,2000,461,Computers,9780130170071,http://books.google.com/books/content?id=bIchilfV3bcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"""Multithreaded Programming with Java Technology is the first complete guide to multithreaded development with the Java 2 platform. Multithreading experts Bil Lewis and Daniel J. Berg cover the underlying structures upon which threads are built; thread construction; and thread lifecycles, including birth, life, death, and cancellation. Next, using extensive code examples, they cover everything developers need to know to make the most of multithreading.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved"
wqR2eOdZOqcC,Java I/O,Elliotte Rusty Harold,"""O'Reilly Media, Inc.""",1999,568,Computers,9781565924857,http://books.google.com/books/content?id=wqR2eOdZOqcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Intermediate programmers can refer to this guide to gain a solid understanding of text formatting in an object-oriented language. ""Java I/O"" explores streams, which provide simple ways to read and write data of different types, and shows how to control number formatting, use characters aside from the standard (but outdated) ASCII character set, and get a head start on writing truly multi-lingual software."
uYKYS_kH_YcC,Programming With Java:A Primer 3E,Balagurusamy,Tata McGraw-Hill Education,2006-12-01,490,Java (Computer program language),9780070617131,http://books.google.com/books/content?id=uYKYS_kH_YcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,
2dQ8KL2t99QC,Java Programs to Accompany Programming Logic and Design,Jo Ann Smith,Cengage Learning,2008-02-04,176,Computers,9781423902294,http://books.google.com/books/content?id=2dQ8KL2t99QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,Java PAL is designed to be paired with the Fifth Edition of the highly successful Programming Logic and Design by Joyce Farrell. The two books together provide the perfect opportunity for those who want to learn the fundamentals of programming and also get a taste of an actual programming language. Users can discover how real Java code behaves while remaining within the context of the traditional language-independent logic and design course. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.
r10U16kgmkwC,Object-Oriented Programming and Java,"Danny Poo,Derek Kiong,Swarnalatha Ashok",Springer Science & Business Media,2007-09-07,322,Computers,9781846289637,http://books.google.com/books/content?id=r10U16kgmkwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Covering the latest in Java technologies, Object-Oriented Programming and Java teaches the subject in a systematic, fundamentals-first approach. It begins with the description of real-world object interaction scenarios and explains how they can be translated, represented and executed using object-oriented programming paradigm. By establishing a solid foundation in the understanding of object-oriented programming concepts and their applications, this book provides readers with the pre-requisites for writing proper object-oriented programs using Java."
HTX8DyD0WzkC,Performance Analysis for Java Web Sites,"Stacy Joines,Ruth Willenborg,Ken Hygh",Addison-Wesley Professional,2003,425,Computers,9780201844542,http://books.google.com/books/content?id=HTX8DyD0WzkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Targeting the critical issue of performance, this guide shows how to resolve bottlenecks, increase speed, and get better overall performance for Java Websites. The author team is a group of seasoned performance experts who have helped hundreds of customers resolve enterprise Website performance issues."
OCFKdl3wEDIC,The Linux Command Line: A Complete Introduction,"William E. Shotts, Jr.",No Starch Press,2012,480,COMPUTERS,9781593273897,http://books.google.com/books/content?id=OCFKdl3wEDIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"You've experienced the shiny, point-and-click surface of your Linux computer—now dive below and explore its depths with the power of the command line. The Linux Command Line takes you from your very first terminal keystrokes to writing full programs in Bash, the most popular Linux shell. Along the way you'll learn the timeless skills handed down by generations of gray-bearded, mouse-shunning gurus: file navigation, environment configuration, command chaining, pattern matching with regular expressions, and more. In addition to that practical knowledge, author William Shotts reveals the philosophy behind these tools and the rich heritage that your desktop Linux machine has inherited from Unix supercomputers of yore. As you make your way through the book's short, easily-digestible chapters, you'll learn how to: * Create and delete files, directories, and symlinks * Administer your system, including networking, package installation, and process management * Use standard input and output, redirection, and pipelines * Edit files with Vi, the world’s most popular text editor * Write shell scripts to automate common or boring tasks * Slice and dice text files with cut, paste, grep, patch, and sed Once you overcome your initial ""shell shock,"" you'll find that the command line is a natural and expressive way to communicate with your computer. Just don't be surprised if your mouse starts to gather dust. A featured resource in the Linux Foundation's ""Evolution of a SysAdmin"""
-kD0sxQ0EkIC,"Linux-- Security, Audit and Control Features","K. K. Mookhey,Nilesh Burghate",ISACA,2005-01-01,158,Computer security,9781893209787,http://books.google.com/books/content?id=-kD0sxQ0EkIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This document, which focuses on the Linux security issues for one of the more popular versions of Linux, Red Hat version 9/Fedora, provides a standard reference for Linux security controls and their audit for security administrators, security professionals and information systems auditors. It provides the following guidance to IT management: * The business and technology drivers for Linux * The vulnerabilities of the Linux operating system * Risk management issues with an action-oriented perspective * Linux security software * How to secure Linux installations to fulfill the control objectives of two well-known standards-COBIT and ISO 17799 * Detailed internal control questionnaires. Call +1.847.253.1545 ext. 401, visit www.isaca.org/bookstore or e-mail bookstore@isaca.org for more information."
wOGUuoHUyAEC,How Linux Works: What Every Superuser Should Know,Brian Ward,No Starch Press,2004,368,Computers,9781593270353,http://books.google.com/books/content?id=wOGUuoHUyAEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"How Linux Works describes the inside of the Linux system for systems administrators, whether they maintain an extensive network in the office or one Linux box at home. After a guided tour of filesystems, the boot sequence, system management basics, and networking, author Brian Ward delves into topics such as development tools, custom kernels, and buying hardware. With a mixture of background theory and real-world examples, this book shows both how to administer Linux, and why each particular technique works, so that you will know how to make Linux work for you."
geTj8ErsyZQC,Red Hat Enterprise Linux 4 For Dummies,Terry Collings,John Wiley & Sons,2005-03-18,408,Computers,9780764596254,http://books.google.com/books/content?id=geTj8ErsyZQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Provides just what administrators need to configure, manage, maintain, and upgrade a Red Hat Enterprise Linux (RHEL) system Red Hat is the most popular Linux distribution, with 70 percent of the U.S. market; RHEL subscriptions climbed to 87,000 during the quarter ending February 2004-up 85 percent Covers all four RHEL versions-Desktop, Workstation, Enterprise Server, and Application Server Delivers the lowdown on the X Window System, printer configuration, Samba, Internet server set up, administration of users and groups, backups and file restoration, and security"
FyRhZJ3h3VQC,Linux Troubleshooting for System Administrators and Power Users,"James Kirkland,David Carmichael,Christopher L. Tinker,Gregory L. Tinker",Prentice Hall Professional,2006-04-27,624,Computers,9780132797399,http://books.google.com/books/content?id=FyRhZJ3h3VQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Linux is a fast-growing operating system with power and appeal, and enterprises worldwide are quickly adopting the system to utilize its benefits. But as with all operating systems, performance problems do occur causing system administrators to scramble into action. Finally, there is a complete reference for troubleshooting Linux–quickly! Linux Troubleshooting for System Administrators and Power Users is THE book for locating and solving problems and maintaining high performance in Red Hat® Linux and Novell® SUSE® Linux systems. This book not only teaches you how to troubleshoot Linux, it shows you how the system works–so you can attack any problem at its root. Should you reinstall if Linux does not boot? Or can you save time by troubleshooting the problem? Can you enhance performance when Linux hangs or runs slowly? Can you overcome problems with printing or accessing a network? This book provides easy-to-follow examples and an extensive look at the tools, commands, and scripts that make Linux run properly. A troubleshooting guide for all Linux users: Focuses on common problems with start-up, printing, login, the network, security, and more Restore Linux when boot, startup, or shutdown fails–and reinstall Linux properly when all troubleshooting fails Explains how to use some of the most popular Linux performance tools, including top, sar, vmstat, iostat, and free Handle storage problems and CPU slamming to ensure high Linux performance Solve hardware device problems by deciphering error messages and using the lspci tool Use backup/recover commands and tape libraries to create proper backups Identify and correct remote and network printing problems using spooler commands Gone are the days of searching online for solutions that are out of date and unreliable. Whether you are a system admin, developer, or user, this book is an invaluable resource for ensuring that Linux runs smoothly, efficiently, and securely."
NxMeJaLZAHwC,Linux in a Windows World,Roderick W. Smith,"""O'Reilly Media, Inc.""",2005,478,Computers,9780596007584,http://books.google.com/books/content?id=NxMeJaLZAHwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A companion for any system administrator interested in integrating Linux into their Windows environment. This book takes an in-depth look at exactly how Linux can be brought into an organization that's currently based on Microsoft Windows system. With tips and techniques, it has the practical advice you need to migrate to this software."
pbB8Z1ewwEgC,LINUX Assembly Language Programming,Bob Neveln,Prentice Hall Professional,2000,249,Computers,9780130879400,http://books.google.com/books/content?id=pbB8Z1ewwEgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Master x86 language from the Linux point of view with this one-concept-at-a-time guide. Neveln gives an ""under the hood"" perspective of how Linux works and shows how to create device drivers. The CD-ROM includes all source code from the book plus edlinas, an x86 simulator that's perfect for hands-on, interactive assembler development."
_-LLSpT531wC,Red Hat Fedora Linux 2 All-in-One Desk Reference For Dummies,Naba Barkakati,John Wiley & Sons,2004-08-06,850,Computers,9780764567933,http://books.google.com/books/content?id=_-LLSpT531wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Describes the basic features of Fedora and offers instructions concerning its use, administration, network and server set-up, and its compatibility with new technology."
-jzcJkXTLuUC,The Definitive Guide to SUSE Linux Enterprise Server,Sander van Vugt,Apress,2007-02-01,690,Computers,9781430203261,http://books.google.com/books/content?id=-jzcJkXTLuUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This book offers a comprehensive guide to Novell’s Linux Enterprise Server, one of the most powerful Linux-based server solutions available today. The book guides readers through all of the most important aspects of SLES, beginning with an in-depth overview of installation and configuration tasks. Later chapters cover configuration and deployment of key services, including the MySQL database, file sharing and printing, Web, FTP, News, DNS, and Proxy Servers. van Vugt instructs readers on important administration concepts such as instituting strict file system security and server automation. Readers will also learn about how to cluster servers together to lessen downtime and increase performance."
9yIEji1UheIC,Understanding the Linux Kernel,"Daniel Pierre Bovet,Marco Cesati","""O'Reilly Media, Inc.""",2002,765,Computers,9780596002138,http://books.google.com/books/content?id=9yIEji1UheIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"To thoroughly understand what makes Linux tick and why it's so efficient, you need to delve deep into the heart of the operating system--into the Linux kernel itself. The kernel is Linux--in the case of the Linux operating system, it's the only bit of software to which the term ""Linux"" applies. The kernel handles all the requests or completed I/O operations and determines which programs will share its processing time, and in what order. Responsible for the sophisticated memory management of the whole system, the Linux kernel is the force behind the legendary Linux efficiency. The new edition of Understanding the Linux Kernel takes you on a guided tour through the most significant data structures, many algorithms, and programming tricks used in the kernel. Probing beyond the superficial features, the authors offer valuable insights to people who want to know how things really work inside their machine. Relevant segments of code are dissected and discussed line by line. The book covers more than just the functioning of the code, it explains the theoretical underpinnings for why Linux does things the way it does. The new edition of the book has been updated to cover version 2.4 of the kernel, which is quite different from version 2.2: the virtual memory system is entirely new, support for multiprocessor systems is improved, and whole new classes of hardware devices have been added. The authors explore each new feature in detail. Other topics in the book include: Memory management including file buffering, process swapping, and Direct memory Access (DMA) The Virtual Filesystem and the Second Extended Filesystem Process creation and scheduling Signals, interrupts, and the essential interfaces to device drivers Timing Synchronization in the kernel Interprocess Communication (IPC) Program execution Understanding the Linux Kernel, Second Edition will acquaint you with all the inner workings of Linux, but is more than just an academic exercise. You'll learn what conditions bring out Linux's best performance, and you'll see how it meets the challenge of providing good system response during process scheduling, file access, and memory management in a wide variety of environments. If knowledge is power, then this book will help you make the most of your Linux system."
oPIMmQEACAAJ,Harry Potter and the Goblet of Fire,"J. K. Rowling,Mary GrandPré",Scholastic Paperbacks,2013-08-27,734,Juvenile Fiction,9780545582957,http://books.google.com/books/content?id=oPIMmQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,"Young wizard-in-training Harry Potter prepares for a competition between Hogwarts School of Magic and two rival schools, develops a crush on Cho Chang, and wishes above all to be a normal fourteen-year-old."
pBjDSPhUjp8C,The Ultimate Harry Potter and Philosophy: Hogwarts for Muggles,"William Irwin,Gregory Bassham",John Wiley & Sons,2010-08-13,304,Philosophy,9780470627358,http://books.google.com/books/content?id=pBjDSPhUjp8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A philosophical exploration of the entire seven-book Harry Potter series Harry Potter has been heralded as one of the most popular book series of all time and the philosophical nature of Harry, Hermione, and Ron's quest to rid the world of its ultimate evil is one of the many things that make this series special. The Ultimate Harry Potter and Philosophy covers all seven titles in J.K. Rowling's groundbreaking series and takes fans back to Godric's Hollow to discuss life after death, to consider what moral reasoning drove Harry to choose death, and to debate whether Sirius Black is a man or a dog. With publication timed to coincide with the release of the movie Harry Potter and the Deathly Hallows (Part 1), this book will be the definitive guide for all fans looking to appreciate the series on a deeper level. Covers a range of intriguing topics such as the redemption of Severus Snape, the power of love, and destiny in the wizarding world Gives you a new perspective on Harry Potter characters, plot lines, and themes Makes a perfect companion to the Harry Potter books and movies Packed with interesting ideas and insights, The Ultimate Harry Potter and Philosophy is an ideal companion for anyone interested in unraveling the subtext and exploring the greater issues at work in the story."
JGQBcu5O_ZcC,Friends and Foes of Harry Potter: Names Decoded,"Nikita Agarwal,Chitra Agarwal,Benjamin Vincent",Texas World Publishing,2005,159,Juvenile Nonfiction,9781598002218,http://books.google.com/books/content?id=JGQBcu5O_ZcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,Examines the meanings behind the names of people and places in the Harry Potter books.
BoX-6R21MgQC,The Psychology of Harry Potter: An Unauthorized Examination Of The Boy Who Lived,Neil Mulholland,"BenBella Books, Inc.",2009-06-22,326,Psychology,9781935251378,http://books.google.com/books/content?id=BoX-6R21MgQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Harry Potter has provided a portal to the wizarding world for millions of readers, but an examination of Harry, his friends and his enemies will take us on yet another journey: through the psyche of the Muggle (and wizard!) mind. The twists and turns of the series, as well as the psychological depth and complexity of J. K. Rowling’s characters, have kept fans enthralled with and puzzling over the many mysteries that permeate Hogwarts and beyond: Do the Harry Potter books encourage disobedience? Why is everyone so fascinated by Professor Lupin? What exactly will Harry and his friends do when they finally pass those N.E.W.T.s? Do even wizards live by the ticking of the clock? Is Harry destined to end up alone? And why did it take Ron and Hermione so long to get together? Now, in The Psychology of Harry Potter, leading psychologists delve into the ultimate Chamber of Secrets, analyzing human mind and motivation by examining the themes and characters that make the Harry Potter books the bestselling fantasy series of all time. Grab a spot on the nearest couch, and settle in for some fresh revelations about our favorite young wizard!"
o-QCOFDHmPEC,Heroism in the Harry Potter Series,"Dr Katrin Berndt,Dr Lena Steveker","Ashgate Publishing, Ltd.",2013-05-28,248,Literary Criticism,9781409478416,http://books.google.com/books/content?id=o-QCOFDHmPEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Taking up the various conceptions of heroism that are conjured in the Harry Potter series, this collection examines the ways fictional heroism in the twenty-first century challenges the idealized forms of a somewhat simplistic masculinity associated with genres like the epic, romance and classic adventure story. The collection's three sections address broad issues related to genre, Harry Potter's development as the central heroic character and the question of who qualifies as a hero in the Harry Potter series. Among the topics are Harry Potter as both epic and postmodern hero, the series as a modern-day example of psychomachia, the series' indebtedness to the Gothic tradition, Harry's development in the first six film adaptations, Harry Potter and the idea of the English gentleman, Hermione Granger's explicitly female version of heroism, adult role models in Harry Potter, and the complex depictions of heroism exhibited by the series' minor characters. Together, the essays suggest that the Harry Potter novels rely on established generic, moral and popular codes to develop new and genuine ways of expressing what a globalized world has applauded as ethically exemplary models of heroism based on responsibility, courage, humility and kindness."
p0mLvgEACAAJ,Harry Potter: Harry Potter and the Sorcerer's Stone; Harry Potter and the Chamber of Secrets; Harry Potter and the Prisoner of Azkaban; Harry Potter and the Goblet of Fire; Harry Potter and the Order of the Phoenix; Harry Potter and the Half-Blood Prince; Harry Potter and the Deathly Hallows,J. K. Rowling,Bloomsbury Harry Potter,2007-10,607,"Fantasy fiction, English",9780747594567,http://books.google.com/books/content?id=p0mLvgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,"A fabulous opportunity to own all seven Harry Potter titles - Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban, Harry Potter and the Goblet of Fire, Harry Potter and the Order of the Phoenix, Harry Potter and the Half-Blood Prince and Harry Potter and the Deathly Hallows- in a fantastic boxed set"
209bSZOwMYoC,"Muggles, Monsters and Magicians: A Literary Analysis of the Harry Potter Series",Claudia Fenske,Peter Lang,2008,471,Literary Criticism,9783631566619,http://books.google.com/books/content?id=209bSZOwMYoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"""Harry Potter's"" global triumph is without precedent. Economically it is the most successful children's book ever published and at the same time it has become the most widely discussed text for young adults. Why is this so? What does the text offer to its readers? ""Muggles, Monsters and Magicians"" deals with these issues and answers these questions. On the basis of a carefully conducted text-based analysis of the whole series it argues that, from a purely literary point of view, Pottermania is not entirely comprehensible. It identifies Rowling's narrative techniques, explains the world view underlying this series and links it to the literary genres of children's and fantastic literature."
ASImDQAAQBAJ,Fantastic Beasts and Where to Find Them,"J.K. Rowling,Newt Scamander",Pottermore Publishing,2017-03-14,144,Fiction,9781781105566,http://books.google.com/books/content?id=ASImDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"The 2017 edition of this essential companion to the Harry Potter stories included a new foreword from J.K. Rowling (writing as Newt Scamander) and 6 new beasts! A set textbook at Hogwarts School of Witchcraft and Wizardry since publication, Newt Scamander's masterpiece has entertained wizarding families through the generations. Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the wizarding world. Scamander's years of travel and research have created a tome of unparalleled importance. Some of the beasts will be familiar to readers of the Harry Potter books - the Hippogriff, the Basilisk, the Hungarian Horntail... Others will surprise even the most ardent amateur Magizoologist. Dip in to discover the curious habits of magical beasts across five continents... At least 15% of the net retail price* of this eBook will be available to Comic Relief and Lumos Foundation for their work with children and young people to help them have a better life. 20% of these monies will be used by Comic Relief and 80% will be used by Lumos Foundation. * The net retail price means the price paid by the consumer less applicable sales taxes Comic Relief is a registered charity in the UK with charity nos. 326568 (England/Wales) and SC039730 (Scotland). Lumos Foundation is a registered charity in the UK with no. 1112575. Please note: This is the 2017 edition of the Hogwarts Library ebook, featuring bespoke cover artwork from Olly Moss and a new foreword from J.K. Rowling. The official screenplay of the 2016 Warner Bros. movie - Fantastic Beasts and Where to Find Them: The Original Screenplay - is available separately."
